SSN,FN,LN,DOB,SEX,ADDR,CITY,STATE,ZIP,PHONE
0001000010000000000000100100010010001000000000100001000000100010001100000000001010000000100000000011,0000000000100001000000000000000000000000000011000000000000000001000000000000001000000001000000001000,0000000000110000000000000000010000000000000000000010001001000100001000000000001101100000100000000100,0000000010000001000000010000001000001000000000001110001001000000001000100000000000001001000000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001100010100101001010100001001010011001100000011001000001010000010001010011001111100101000100000000,0000000000000000000000100000001000100010100001110001000000000000001000000000000001000001000010000000,0000000000000000000000001000000000100000000000000010100000000001000000000000000000000000010000000000,0000000000000001000000000010000001000000000011000010100001000000000000001000000000001100000000000001,0000110110000000001000000010100000000000000000010110100001001010000001011000010001001000010000001000
0000000010000000000010100100000010000001010000100101000000110110000100000000000010000010100000000001,1000001000000000010100110000000000000000100000101000000000000000011000000010000000000001001100000010,0000000000010001000101000000000100000000000010000000001000000000000001000000000100100000000000001100,0010000010000000000000000001000000000000001000010000000001000010000011010000010000100100000000101000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0111001010100001000001100000100010010011101001000010100101100000010001110001000010001100100000010101,0000000010001000000011000001110011000110001001000010100100000000000001101001000000000011000000110000,0000000000000000000000000001000000000010000000010000000010100000000100000000000000000000000000000000,0000100000000000000000000000000000110001000000000010000000000000010000000000000001000100010010000000,0000000000100000000000000101000000000000000000100000100011110000001000100001000000011100110010000001
1010110000000000101000000010000100000000000000010010100000001000000101100000010010000000000000000001,0000010000000000010000001001000000000101000000000001000000000000000000010100001000100010100000001010,0000101000100001010000010100000100000000000000001000000000000000000000001000000000000000000000000011,1010000000000000000000000000000100010000010000000010000000000000000101000001010001000110010000001000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0001000101010111010111000100110001101000001101000000000100000101011000011011100100101011000001000010,0000000010010001000000110001000010001100000000000011000100000000000000000000000000000011010000101000,0000000000000000000000010000000000000100000000000001000000000000000000010000000000000010000000000010,0010000001000000000100000001000100000000001000000000000000100010001000000000000000100000000000000000,0000101100000001000000100000000000100000001000010000000000000000000100000010110000111100000011000001
0000000110000001000000100100000100000000000001000001000000110010000000001000110010010000000000000010,0000000000000010000000000001000000000000010000001001000000000000001010100000000000000000000000000000,0001001000000000000000000000000000000000100000001000000000000000010000000000001010000101000000000000,1010010010000000001000011001000000000000000000000010001001000010001000000000000000000001000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0101010100000001000011010001101100000101100000101101101000100000011000100110011010010011000000000100,1000000000101000000000110001110000000100100000001011000100000000000000001010000000000001000000000001,0000000000000000000000000001000000000010000000100000000100100000000000000000000000000000000000100000,0001000010000000000000000000000000101000000001100001000000000011100000100000000010000000000000000000,0010100100000000001000000000000000100001000000010011100001000010010010001001100000000100000010001000
0000000110000010010000010001000000000000000000100100001000010010001010010001010000100000000100000000,0000010000000000010001110000000000000000100000000001000001010000000101000000001000000000001000000100,0000100000000000010000000001100100001010000100000000000000001100001000000000000000000000000001000000,0000010010000000001000100001000000100000010001000000000001000000010001000001010010000010000000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001000000100101010011100100010000101001100000010100011010100011011111101000101100010000100100000001,0000000100000000100000000001000000000000000001000000000100001000000000001000000000000011101000000001,0000000000010100000000000000000000000000000000000000100000000000100000000000010000000000000010000000,0000010000000000000000000001100001000001000000000000000001001010000000001000010000000000000000000000,1111000000000001000000001000000000001000001001000000100000001010000000010011010001000000010000001110
1000101010000000000000000000110010100000000001000100000000000000010000011010001000000000000010101000,0000000010000100000001000000000001001100001110000000000000000000000001010000000000000010000000000010,0000000000000001000010010000000000000000000000001001000000001001011001000010000100000000000000000010,0010000110000000000000000000001000000000000001101011000001000010000000001001000000000010100000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001010100010001101010000000000100001111001011101100000100100000110001000110011010101011000000000010,0000000000100001010000000011000000100100000000000100100000100000011000001000100001000001010100000001,0000000000000000000000100001000000000010000000100001000000100000000000000000000000000000000000000000,0000001010010010000000000000000000100000000001000000000000000000010010000011000000000100000000100000,0110000000000000000000010000101000001000010010011000001001000010001000000000000000000110000001001000
0000000000000000000100000101000000000000100011010000100000000000000011100101010001000000000000000000,0000000000000000000000010000000110000101000000001001000000010000000001010001001000000011001000000010,0000000010000100010000000000000000000010000000000100000000100000001000100000000000000000001001000000,0010000010000000000000000001100000010000100000000110000001000110000000001000000000000000000000000010,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,0001101010100111010110101001000000100001000000000001000000001010011001010010000011100000010000001000,0000000000000000010010000001000000100100000000010100000000100010011000001000001000100001110000000001,0000000000000000000000000000000000000100000001000000000100000000010000000000000100000010000000000000,0000000100000000001000000000000000010000000001110010000000110000100000000001000000000000000000000001,0010100000000000001000100000000110000000000000110000000001100010110000100000011000100000100000000000
0010100111000000000000000100000000000000001001000001000010100000000000000000000011000110010000001000,0010100010110000000010000000000000000000000000010010100000100000000000010000000000100000100000100000,0000000010000000000110000000100000000100101100000000000000000000000000010000010000100010000000000010,0100010010000000000000100001100000000000000000100000000001001010001000001000010000000000100000000000,0000000000000000000000000100000000000100000000000000000000010000000000000000000000000010000000000000,1001010001010001000010000100110100000111001001010100100100101000010000001110010011000000000000000000,0000001000000010010000000011000010000000010001001000000100000000000011001001000000000000000000001001,0010000010000000000000110010000000000000000000000001000000000000000000000000000000000000000000000000,0000000000000000000001100000010000000000000000100001000000010000000100000000010010000000100100000000,0011100100000000001000000000000000000100000100110000101001000010110000101000000000000000110000000001
1001000001000000001100000001000000000000001000010100001001000100100110100000000001000000010000000000,0000101000000101000000010001000000000101000000000001000001000000000000010000000100000011000000000010,0000000000000000000001000000100010100000000000000010000001000011000011000001000000000000010000001000,0000000010000001000000000000001000000000000000011001000011000000000001000000010000001100010000000001,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,1001000010110001000000100100110100010011010001010010000100100000010001010001000011000010010000000000,0001110000100101010000000000000000000000010000000100100000001000101110001000000110100000001000001001,0000000000000000000010000000000000000100000000000000000000000000000000000000000000101011000000000000,0010000000100001000000000001000000000000001000000000000001000000001000010000000010011000000010000000,0010000100000000000000100000000100010000010000010110100000100010010000110000010001000100000000000000
0001000000000000001001100111010000000000000011010010001000100000101100100000000000000000000000000001,0000000000100101010000000001000000001000000000000000000000000000001000000010000000000001000000010000,0000010000010101010000000110010000000000000001100100000100000000001100000000100110000000000000000010,0010000010010011000000000000100100001000000001000010000001000000000000001000010010001001000000000000,0000001000000000000000000000000000000000100000000000000000000000000000000000000000000100000001000000,0001000010100101000010100000000000000101001000011001000000110000010001010010000011101100000110100001,0000000100000001000000000000011010011000000000001000001001000000000011011101000001000100000000101101,0000000001000000000000000000001010000000000100000000000000000000000000000000000000000000000000100001,0000000000100000000000000110000000000000000011000010100001100000000000100001000000000000000000000000,1010001001000000000100000000000100100000000001010000000010000000000101000000010000100100010000001001
